CBSA,NAME,XGB_MAPE,LEARNING_RATE,MAX_DEPTH,MIN_CHILD_WEIGHT,N_ESTIMATORS,LINREG_FULL_MAPE,LINREG_1_MAPE,LINREG_FULL_LOG_MAPE,LINREG_1_LOG_MAPE,MEAN_PRED_MAPE,DELTA_MAPE,DELTA_LOG_MAPE
41980,"San_Juan-Bayamón-Caguas,_PR_Metro_Area",0.8298425346534641,0.06699252901822442,3,1,34,0.8262949339713692,0.823173871722382,0.8362319606865509,0.8356295313991582,0.7352527965716129,0.00354760068209492,-0.006389426033086787
25540,"Hartford-East_Hartford-Middletown,_CT_Metro_Area",0.8261818496835811,0.05427137134432376,4,3,48,0.7944183027553497,0.7830080287069143,0.8067348643780243,0.7910603780543866,0.6638672337825267,0.031763546928231357,0.019446985305556774
39300,"Providence-Warwick,_RI-MA_Metro_Area",0.8236383701101425,0.022783243243149672,3,3,97,0.8020294951584626,0.7946523711785386,0.8188278924939052,0.8006860051901031,0.6899014734374282,0.021608874951679957,0.004810477616237319
33460,"Minneapolis-St._Paul-Bloomington,_MN-WI_Metro_Area",0.8037845272046693,0.07049230315506544,3,3,31,0.7802512739041899,0.774075413118154,0.7947816515266499,0.7864932279131283,0.6200258045545938,0.023533253300479395,0.009002875678019384
38900,"Portland-Vancouver-Hillsboro,_OR-WA_Metro_Area",0.7987942963813034,0.022783243243149672,3,3,97,0.7791738542885643,0.7786339164498826,0.7916623537570073,0.7888055548661321,0.6785298390904138,0.019620442092739054,0.0071319426242960615
33340,"Milwaukee-Waukesha,_WI_Metro_Area",0.7966588012711647,0.06699252901822442,3,1,34,0.7529840493259673,0.7117402790990999,0.7754658774544745,0.7030873481150588,0.4067699578809858,0.04367475194519743,0.021192923816690246
19740,"Denver-Aurora-Lakewood,_CO_Metro_Area",0.7879892062792407,0.022783243243149672,3,3,97,0.7854393550419623,0.7734854134402753,0.7933546984315135,0.7817966290832398,0.5961834928563877,0.0025498512372784665,-0.005365492152272777
34980,"Nashville-Davidson--Murfreesboro--Franklin,_TN_Metro_Area",0.7873543516902959,0.048622595804441275,3,2,42,0.7558084495456763,0.758954656320518,0.7866749172524434,0.7840214203253892,0.5773181015984679,0.03154590214461961,0.0006794344378524553
47900,"Washington-Arlington-Alexandria,_DC-VA-MD-WV_Metro_Area",0.7840280403562002,0.06048917067246934,4,1,32,0.7644223102167407,0.757685138894849,0.795202261371931,0.7843942772007223,0.6168394186593864,0.019605730139459543,-0.011174221015730734
18140,"Columbus,_OH_Metro_Area",0.7826733961751252,0.07049230315506544,3,3,31,0.7674558323865436,0.7613956186629591,0.7606832468213316,0.7506461226726487,0.48019569041761456,0.015217563788581634,0.02199014935379362
12580,"Baltimore-Columbia-Towson,_MD_Metro_Area",0.7803594263834912,0.03898987933305451,4,2,64,0.7768260006599694,0.7667751298561346,0.7754785459873049,0.7620884753162926,0.4854760223242499,0.003533425723521777,0.004880880396186282
40900,"Sacramento-Roseville-Folsom,_CA_Metro_Area",0.7759400243076334,0.022783243243149672,3,3,97,0.7198492919856355,0.6880099823870391,0.7300213890420391,0.7035061651211321,0.506878845308167,0.056090732321997905,0.045918635265594365
16740,"Charlotte-Concord-Gastonia,_NC-SC_Metro_Area",0.7759057747484268,0.03173638905517714,4,1,65,0.7456294496615505,0.7435608961170145,0.7706596760542004,0.760339554401936,0.5072216991155527,0.030276325086876277,0.005246098694226431
40060,"Richmond,_VA_Metro_Area",0.7739455397125976,0.031735252976023406,2,2,69,0.8095848433505506,0.7882581979803647,0.8161328093608526,0.7956203035753407,0.6136053820778763,-0.03563930363795298,-0.04218726964825503
19100,"Dallas-Fort_Worth-Arlington,_TX_Metro_Area",0.7739018294327845,0.06048917067246934,4,1,32,0.7459244258497033,0.7295449182972914,0.7787254411574938,0.7444393045911251,0.4276490566002882,0.027977403583081206,-0.0048236117247092425
32820,"Memphis,_TN-MS-AR_Metro_Area",0.7703237040599976,0.03173638905517714,4,1,65,0.7756200223832492,0.7283316664930146,0.7678051793978066,0.6930902173292117,0.4102975021737503,-0.005296318323251614,0.002518524662191046
41700,"San_Antonio-New_Braunfels,_TX_Metro_Area",0.7682230637819114,0.03605190143398855,4,1,60,0.768038310619873,0.7398319151796849,0.7977911478992774,0.7527890488628495,0.4885414202736248,0.00018475316203836467,-0.029568084117366
41620,"Salt_Lake_City,_UT_Metro_Area",0.7680049637353926,0.03898987933305451,4,2,64,0.7599677605680482,0.755551334941258,0.7658173915683703,0.7627894402581791,0.5774078673643872,0.008037203167344464,0.002187572167022367
47260,"Virginia_Beach-Norfolk-Newport_News,_VA-NC_Metro_Area",0.7646674233626326,0.06699252901822442,3,1,34,0.7563796326089204,0.7576403084642154,0.7853340962055515,0.777639487810801,0.6008184075619618,0.00828779075371222,-0.0206666728429189
17460,"Cleveland-Elyria,_OH_Metro_Area",0.763862348618682,0.03605190143398855,4,1,60,0.7419292649614316,0.7283065883237867,0.7448830745987745,0.7091706015824618,0.3618592164239127,0.02193308365725033,0.01897927401990751
14460,"Boston-Cambridge-Newton,_MA-NH_Metro_Area",0.7620984467836023,0.041761622335954485,3,2,42,0.7297892431583421,0.7164758079979172,0.7443906240114708,0.7346712191236755,0.6024136099665431,0.03230920362526013,0.017707822772131454
37980,"Philadelphia-Camden-Wilmington,_PA-NJ-DE-MD_Metro_Area",0.7610234578388597,0.06048917067246934,4,1,32,0.7449591594647375,0.7222268978393939,0.7699406311576635,0.72451969784206,0.47008295096984487,0.016064298374122266,-0.008917173318803817
31140,"Louisville_Jefferson_County,_KY-IN_Metro_Area",0.7578366590677347,0.03173638905517714,4,1,65,0.7248146507882078,0.7280045171319575,0.7365524851240624,0.7308835898532654,0.483315161495248,0.03302200827952684,0.021284173943672324
36420,"Oklahoma_City,_OK_Metro_Area",0.7550053907657346,0.048622595804441275,3,2,42,0.7314969973068641,0.7191049975325584,0.7458865797534948,0.708624794513345,0.4198946599234499,0.023508393458870458,0.00911881101223977
42660,"Seattle-Tacoma-Bellevue,_WA_Metro_Area",0.752931814687673,0.06765339909140107,5,2,28,0.7252768908413983,0.7183439474918232,0.7478894548294843,0.7394600466352387,0.564804837586516,0.02765492384627466,0.005042359858188683
41860,"San_Francisco-Oakland-Berkeley,_CA_Metro_Area",0.7527697728456118,0.04114972462840482,5,3,46,0.736231609421842,0.7201095999800231,0.7548107142320667,0.735883648926966,0.6135485200560313,0.01653816342376979,-0.002040941386454942
